station_name,station_full_name,station_zone,average_delay,median_delay,total_records
CUR,CHURU,NWR,20.113546400820994,8.0,13642
CUX,CHAURA,ECR,44.256546929316336,30.0,4315
CV,CAUVERY,SR,29.551724137931036,16.0,2320
CVB,CAVALRY BARRCKS,SCR,43.0,31.0,4881
CVD,CHAVADIPALAYAM,SR,19.536363636363635,7.0,1430
CVJ,CHAVAJ,WR,12.66197666437886,7.0,2914
CVP,KOVILPATTI,SR,13.726040878122634,8.0,13210
CVR,CHORVAD ROAD,WR,17.72243554580362,13.0,3646
CVV,CHERUVUMADHAVARAM,SCR,54.66942771084337,38.0,1328
CW,CHAINWA,NER,68.86360047374654,35.0,5066
CWA,CHHINDWARA JN,SECR,15.570739321697175,2.0,7047
CWDA,CHUHRIWALA DHANNA,NR,9.620569840166782,7.0,1439
CWI,CHONDI,SCR,46.03219178082192,42.5,1460
CWLE,CHOWRIGACHA,ER,9.984647112740605,5.0,8728
CWN,CHAREWAN H,NR,8.029558286283626,5.0,3011
CWR,CHOUVARA,SR,8.096269982238011,4.0,2815
CWT,CHOWHATTA,ER,2.831955922865014,0.0,1089
CXA,CHANDSARA H,NR,4.995205479452054,0.0,1460
CYI,CHHAYAPURI,WR,23.585074993852963,8.0,8134
CYN,CHERIYANAD,SR,8.077989913544668,5.0,5552
DAA,DATIA,NCR,51.393830069209244,24.0,13582
DAB,DHARMABAD,SCR,46.37101712212269,32.0,8819
DABN,DHABAN,NWR,20.710452961672473,15.0,2870
DAD,DEVARGUDDA,SWR,17.83155530600786,8.0,1781
DADN,DR AMBEDKAR NGR,WR,3.0857008687485323,0.0,8518
DAE,DAHEGAON,CR,30.323246217331498,24.0,1454
DAG,DHANG,ECR,72.95039736914224,52.0,3649
DAJ,DUROJI,SWR,29.425,20.0,3280
DAKE,DAKHINESWAR,ER,20.56678583035424,4.0,3077
DAL,DALIGANJ,NER,11.980899830220713,1.0,2356
DANE,DANRE,ER,29.45382766906969,14.0,2913
DAO,DAGHORA,SECR,59.57864768683274,52.0,1405
DAP,DAGMAGPUR,NCR,55.928604118993135,48.0,2185
DAQ,DAUD KHAN,NCR,74.56870937790158,58.0,2154
DAR,DANWAR,NCR,51.22608139782655,38.0,4693
DARA,DARA,WCR,21.977764240024367,17.0,6566
DAS,DHASA JN,WR,24.843570843570845,22.0,3663
DAU,DAGRU,NR,23.570588235294117,19.0,3400
DAV,DEVALGAON AUCHR,SCR,54.86820428336079,50.0,1821
DAVC,D A V COLLEGE JALALABAD,NR,13.39819128528364,10.0,3649
DAVJ,D A V COLLEGE JALANDHAR,NR,19.279962546816478,15.0,4272
DAVM,DHANUVACHAPURAM,SR,18.861175921605227,16.0,4286
DAYG,DARIYAGANJ,NCR,40.64118811881188,24.0,2525
DAZ,DELHI AZADPUR,NR,44.66464748443547,33.0,5943
DB,DABHOI JN,WR,8.219175719951716,7.0,5799
DBA,DABRA,NCR,52.06799857295754,26.0,14015
DBB,DHUBRI,NFR,47.46821271491403,18.0,2501
DBD,DEOBAND,NR,45.49576500270319,18.0,11098
DBEC,DEVBALODA CHRDA,SECR,31.458271787296898,12.0,5416
DBF,DABPAL,ECOR,31.80576631259484,20.0,659
DBG,DARBHANGA JN,ECR,64.20637467634295,29.0,27421
DBHL,DOBH BAHALI,NR,31.183137525915686,21.0,1447
DBI,DABLI RATHAN,NWR,26.686641697877654,21.0,3204
DBL,DODBELE,SWR,17.252255639097744,10.0,7980
DBLA,DABLA,NWR,22.510655247958574,18.0,5021
DBLG,DIBLONG,NFR,47.78954607977992,44.0,727
DBLI,DEBRABANDHAULI H,ECR,66.05453548917512,47.0,3649
DBM,DABOLIM,SWR,7.728199898011219,0.0,1961
DBN,DHABLAN,NR,21.268532918610678,16.0,1929
DBNK,DERABABA NANAK,NR,4.799861973775017,0.0,2898
DBNR,DIBNAPUR H,NER,14.62054794520548,10.0,2920
DBO,DABHODA,WR,10.425767918088738,9.0,1172
DBP,DEBIPUR,ER,9.2986301369863,8.0,365
DBR,DABHAURA,NCR,54.378163625662154,18.0,6796
DBRG,DIBRUGARH,NFR,25.310037462860095,2.0,7741
DBS,DOBBSPET H,SWR,10.478747714808044,6.0,4376
DBSI,DAYA BASTI,NR,45.18514484861686,33.0,9182
DBU,DODBALLAPUR,SWR,27.8173440842521,22.0,6077
DBV,DABILPUR,SCR,37.95217152281473,25.0,3638
DBW,DUBIA,NFR,23.177397260273974,12.0,1460
DBY,DIGBOI,NFR,18.523095380923817,10.0,1667
DBZ,DHING BAZAR,NFR,18.17808219178082,4.5,730
DC,MAGUDANCHAVADI,SR,31.75043103448276,23.0,2320
DCA,DAMCHARA,NFR,53.574175824175825,45.0,728
DCAB,D CABIN,SECR,13.37861429350791,9.0,1833
DCH,DINHATA COLLEGE H,NFR,40.95665171898356,5.5,1338
DCK,DHANDHUKA,WR,13.159936658749011,11.0,3789
DCP,DAL CHAPRA F,NER,31.428154205607477,16.0,1712
DCU,DAMALCHERUVU,SCR,56.51115834218916,55.0,941
DCX,DHANIACHHA,ECR,53.00867579908676,26.0,2190
DD,DAUND JN,CR,26.273717514124293,12.0,22125
DDA,DURAUNDHA JN,NER,58.5157255616272,29.0,8235
DDCC,DAUND CHORD LINE,CR,62.30176546241085,22.0,8553
DDCE,DUNDI,WCR,88.62039215686275,62.0,5100
DDCL,DOMBIVLI CONTROL CABIN,CR,12.550684931506849,13.0,365
DDD,DHONDHA DIH,NER,60.45313214449017,26.0,2187
DDDA,DUDDEDA,SCR,24.96940418679549,0.0,1242
DDDM,DEEN DAYAL DHAM,NCR,49.25081011017498,32.0,1543
DDE,DONDAICHA,WR,28.9123947972456,7.0,7842
DDGA,DUGDA,ECR,20.586107091172213,11.0,691
DDGJ,DEEDAR GANJ,ECR,34.9309681555888,20.0,4679
DDJ,DUM DUM,ER,11.985511284480356,5.0,7178
DDK,DHINDSA,NR,15.438356164383562,10.0,2555
DDL,DHANDARI KALAN,NR,36.397037938729966,8.0,4929
DDM,DAM DIM,NFR,69.8565808297568,38.0,2796
DDMT,DARIMETA,CR,55.71222527472528,49.0,1456
DDN,DEHRADUN,NR,14.392638786989483,1.0,8178
DDNA,DUDHAUNDA H,NER,22.758208955223882,4.0,1340
DDNI,DUDHNOI,NFR,35.75938281901585,30.0,2398
DDP,DAUDPUR,NER,64.79777862887782,30.0,5222
DDR,DADAR,WR,5.626838235294118,1.0,7616
DDU,PT DEEN DAYAL UPADHYAY JN,ECR,44.56361244389414,6.0,51688
DDV,DADHDEVI,WCR,16.77964774951076,13.0,5110
DDW,DUDWA,NER,2.8217142857142856,0.0,875
DDWA,DEEDWANA,NWR,7.05111821086262,2.0,626
DDX,DHAMDHAMIA,ER,26.994045403796054,15.0,5374
DDY,DUDWINDI,NR,20.599747474747474,17.0,3960
DEB,DEBAGRAM,ER,8.760014655593551,5.0,8188
DEC,DELHI CANTT,NR,28.48353632765974,13.0,26027
DEE,DELHI S ROHILLA,NR,25.90116383169203,8.0,16755
DEEG,DEEG,NCR,24.138997078870496,15.0,4108
DEG,DELANG,ECOR,39.493223064553185,19.0,8706
DELI,DEOLI,CR,24.886699507389164,6.0,406
DELO,DEORAKOT,NR,26.864383561643837,18.0,730
DEMU,DEMU,ECR,85.98285322359396,75.0,2916
DEO,DEOKALI,NER,25.971037181996085,13.0,2555
DEOR,DIYODAR,WR,13.941584731058414,6.0,1729
DEOS,DEORIA SADAR,NER,73.55168073103641,26.0,21449
DEP,DEPALSAR,NWR,24.70875665215288,16.0,4134
DEPI,DEENAPATTI,ECR,52.67380352644836,40.0,3176
DER,DADRI,NCR,39.6973462187452,29.0,6519
DES,DESARI,ECR,49.7042597110152,34.0,5329
DET,DET,NWR,8.063698630136987,3.0,1460
DEV,DEVARAYI,SWR,18.883561643835616,15.0,730
DEW,DEWALGAON,SECR,93.407813570939,78.5,2918
DFR,DEOGAN ROAD,ECOR,45.43896484375,36.0,2048
DG,DINDIGUL JN,SR,10.26362303494339,6.0,24554
DGA,DIGHWARA,ECR,53.914433880726016,29.0,11570
DGB,DANDU GOPALAPURARN H,ECOR,50.133558748943365,36.0,1183
DGBH,DIGHA BRIDGE HALT,ECR,27.84504641030498,7.0,5279
DGBZ,DONGRI BUZURG,SECR,49.179420289855074,22.0,3450
DGD,DANGIDHAR,WCR,48.454841713221604,35.0,2148
DGDG,DURGADA GATE,SCR,47.9271523178808,34.0,1359
DGF,DHANGARIA PH,SER,6.470504619758351,0.0,2814
DGG,DONGARGARH,SECR,77.06439956120539,33.0,15497
